WannaSurf Spot List — Central America (Geocoded Only)
Scraped: 2026-04-27  |  Total geocoded: 459
======================================================================

Name                                                        Lat          Lon  URL
Mariner S Cove                                        19.272374   -81.323440  https://wannasurf.com/spot/Central_America/Cayman/mariner_s_cove/index.html

## Clipperton Island
Ancienne Pass                                         10.289288  -109.206883  https://wannasurf.com/spot/Central_America/Clipperton_Island/Ancienne_pass/index.html

## Costa Rica/Caribbean
Black Beach                                            9.671154   -82.787476  https://wannasurf.com/spot/Central_America/Costa_Rica/Caribbean/black_beach/index.html
Manzanillo                                             9.635107   -82.637787  https://wannasurf.com/spot/Central_America/Costa_Rica/Caribbean/manzanillo/index.html
Playa Cocles                                           9.651580   -82.737951  https://wannasurf.com/spot/Central_America/Costa_Rica/Caribbean/playa_cocles/index.html
Salsa Brava                                            9.655585   -82.756062  https://wannasurf.com/spot/Central_America/Costa_Rica/Caribbean/salsa_brava/index.html

## Costa Rica/Guanacaste
Barrigona                                              9.881729   -85.577703  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/Barrigona/index.html
Islita                                                 9.852166   -85.400612  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/Islita/index.html
Rivermouth At Avellanas                               10.235944   -85.841160  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/Rivermouth_at_Avellanas/index.html
Scardog Reef                                          10.847047   -85.856524  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/Scardog_reef/index.html
Sunset Reef                                            9.596751   -85.145030  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/Sunset_Reef/index.html
Avellana                                              10.228068   -85.837560  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/avellana/index.html
Brasilito                                             10.405303   -85.802987  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/brasilito/index.html
Camaronal                                              9.862193   -85.444182  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/camaronal/index.html
El Estero                                             10.306918   -85.838778  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/el_estero/index.html
Flamingo Point                                        10.435988   -85.792537  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/flamingo_point/index.html
Junquillal                                            10.168323   -85.813533  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/junquillal/index.html
Laverinto  Laverint                                   10.823759   -85.800669  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/laverinto__laverint/index.html
Mal Pais                                               9.626815   -85.152111  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/mal_pais/index.html
Marbella                                              10.073572   -85.772367  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/marbella/index.html
Nosara                                                 9.982820   -85.695612  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/nosara/index.html
Ollies Point                                          10.852442   -85.802536  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/ollies_point/index.html
Ostional                                              10.039683   -85.745544  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/ostional/index.html
Pelada                                                 9.953211   -85.676188  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/pelada/index.html
Pico Grande                                           10.302770   -85.841138  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/pico_grande/index.html
Playa Coyote                                           9.789588   -85.282745  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/playa_coyote/index.html
Playa Grande                                          10.316355   -85.841589  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/playa_grande/index.html
Playa Guiones                                          9.947251   -85.673511  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/playa_guiones/index.html
Playa Lagosta                                         10.286123   -85.851374  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/playa_lagosta/index.html
Playa Negra                                           10.195874   -85.832287  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/playa_negra/index.html
Playa Nosara                                           9.944588   -85.672438  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/playa_nosara/index.html
Playa Samara                                           9.880415   -85.526633  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/playa_samara/index.html
