WannaSurf Spot List — Geocoded Spots Only
Scraped: 2026-04-27  |  Total geocoded: 526
======================================================================

Name                                                 Lat          Lon  URL
Lunada Bay                                     33.771335  -118.426030  https://wannasurf.com/spot/North_America/USA/California/LA_County/lunada_bay/index.html
Malibu                                         34.032746  -118.678694  https://wannasurf.com/spot/North_America/USA/California/LA_County/malibu/index.html
Manhattan 26Th Street                          33.884382  -118.412361  https://wannasurf.com/spot/North_America/USA/California/LA_County/manhattan_26th_street/index.html
Manhattan Beach Pier                           33.883225  -118.414271  https://wannasurf.com/spot/North_America/USA/California/LA_County/manhattan_beach_pier/index.html
Marshalls                                      34.038987  -118.895459  https://wannasurf.com/spot/North_America/USA/California/LA_County/Marshalls/index.html
Ocean Park  Santa Monica                       33.998632  -118.487484  https://wannasurf.com/spot/North_America/USA/California/LA_County/Ocean_Park__Santa_Monica/index.html
Pickles                                        33.713881  -118.314557  https://wannasurf.com/spot/North_America/USA/California/LA_County/Pickles/index.html
Pipe                                           33.923082  -118.433969  https://wannasurf.com/spot/North_America/USA/California/LA_County/pipe/index.html
Pipes And Turbos                               33.782634  -118.422972  https://wannasurf.com/spot/North_America/USA/California/LA_County/pipes_and_turbos/index.html
Point Dume                                     34.010826  -118.792484  https://wannasurf.com/spot/North_America/USA/California/LA_County/point_dume/index.html
Rat Beach                                      33.805268  -118.394868  https://wannasurf.com/spot/North_America/USA/California/LA_County/rat_beach/index.html
Redondo Beach                                  33.827254  -118.391976  https://wannasurf.com/spot/North_America/USA/California/LA_County/redondo_beach/index.html
San Clemente Island                            32.811872  -118.411385  https://wannasurf.com/spot/North_America/USA/California/LA_County/San-Clemente-Island/index.html
Santa Monica   Samo 20                         34.004574  -118.492355  https://wannasurf.com/spot/North_America/USA/California/LA_County/santa_monica_-_samo_20/index.html
Shark Harbor                                   33.383185  -118.472528  https://wannasurf.com/spot/North_America/USA/California/LA_County/shark_harbor/index.html
Staircases                                     34.046010  -118.952065  https://wannasurf.com/spot/North_America/USA/California/LA_County/Staircases/index.html
Sunset                                         34.038542  -118.552780  https://wannasurf.com/spot/North_America/USA/California/LA_County/sunset/index.html
T C S                                          33.719946  -118.330826  https://wannasurf.com/spot/North_America/USA/California/LA_County/T_C_s/index.html
Tcs                                            33.717433  -118.323526  https://wannasurf.com/spot/North_America/USA/California/LA_County/tcs/index.html
The Hut   Paradise Cove                        34.017949  -118.786325  https://wannasurf.com/spot/North_America/USA/California/LA_County/the_hut_-_paradise_cove/index.html
Topanga Point                                  34.037369  -118.583078  https://wannasurf.com/spot/North_America/USA/California/LA_County/topanga_point/index.html
Torrance Beach                                 33.823421  -118.389906  https://wannasurf.com/spot/North_America/USA/California/LA_County/torrance_beach/index.html
Venice   Rose Avenue                           33.993971  -118.480940  https://wannasurf.com/spot/North_America/USA/California/LA_County/venice_-_rose_avenue/index.html
Venice Breakwater                              33.984933  -118.476820  https://wannasurf.com/spot/North_America/USA/California/LA_County/venice_breakwater/index.html
Venice Pier                                    33.978065  -118.468924  https://wannasurf.com/spot/North_America/USA/California/LA_County/venice_pier/index.html
Wallys                                         33.765877  -118.423519  https://wannasurf.com/spot/North_America/USA/California/LA_County/wallys/index.html
Westward Beach                                 34.003417  -118.811581  https://wannasurf.com/spot/North_America/USA/California/LA_County/westward_beach/index.html
Will Rodgers                                   34.030458  -118.527350  https://wannasurf.com/spot/North_America/USA/California/LA_County/Will_Rodgers/index.html
Zeroes                                         34.041956  -118.915930  https://wannasurf.com/spot/North_America/USA/California/LA_County/zeroes/index.html
